Average Emission CH4 (mgm-2h-1);Type of Wetland
-0.06;Natural
-0.04;Natural
-0.04;Natural
-0.03;Natural
-0.03;Natural
-0.03;Natural
-0.03;Natural
-0.02;Natural
-0.02;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
-0.01;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.01;Natural
0.01;Natural
0.01;Natural
0.01;Natural
0.01;Natural
0.01;Natural
0.01;Natural
0.01;Natural
0.01;Natural
0.02;Natural
0.02;Natural
0.02;Natural
0.02;Natural
0.02;Natural
0.02;Natural
0.02;Natural
0.02;Natural
0.02;Natural
0.03;Natural
0.03;Natural
0.03;Natural
0.03;Natural
0.03;Natural
0.03;Natural
0.03;Natural
0.04;Natural
0.04;Natural
0.04;Natural
0.04;Natural
0.04;Natural
0.04;Natural
0.05;Natural
0.05;Natural
0.05;Natural
0.05;Natural
0.05;Natural
0.05;Natural
0.05;Natural
0.06;Natural
0.06;Natural
0.06;Natural
0.06;Natural
0.06;Natural
0.06;Natural
0.06;Natural
0.06;Natural
0.07;Natural
0.07;Natural
0.08;Natural
0.08;Natural
0.08;Natural
0.08;Natural
0.08;Natural
0.08;Natural
0.09;Natural
0.09;Natural
0.09;Natural
0.09;Natural
0.10;Natural
0.10;Natural
0.10;Natural
0.10;Natural
0.11;Natural
0.11;Natural
0.11;Natural
0.11;Natural
0.12;Natural
0.13;Natural
0.13;Natural
0.13;Natural
0.13;Natural
0.15;Natural
0.15;Natural
0.15;Natural
0.16;Natural
0.16;Natural
0.16;Natural
0.16;Natural
0.17;Natural
0.18;Natural
0.19;Natural
0.21;Natural
0.22;Natural
0.22;Natural
0.23;Natural
0.23;Natural
0.23;Natural
0.23;Natural
0.23;Natural
0.23;Natural
0.23;Natural
0.26;Natural
0.27;Natural
0.27;Natural
0.28;Natural
0.29;Natural
0.29;Natural
0.29;Natural
0.30;Natural
0.31;Natural
0.31;Natural
0.32;Natural
0.32;Natural
0.33;Natural
0.35;Natural
0.35;Natural
0.36;Natural
0.37;Natural
0.39;Natural
0.40;Natural
0.42;Natural
0.42;Natural
0.46;Natural
0.46;Natural
0.48;Natural
0.50;Natural
0.50;Natural
0.50;Natural
0.54;Natural
0.54;Natural
0.58;Natural
0.63;Natural
0.66;Natural
0.67;Natural
0.68;Natural
0.69;Natural
0.69;Natural
0.71;Natural
0.71;Natural
0.71;Natural
0.71;Natural
0.73;Natural
0.75;Natural
0.75;Natural
0.77;Natural
0.79;Natural
0.79;Natural
0.79;Natural
0.87;Natural
0.88;Natural
0.89;Natural
0.90;Natural
0.91;Natural
0.92;Natural
0.96;Natural
0.96;Natural
0.98;Natural
0.99;Natural
0.99;Natural
1.13;Natural
1.17;Natural
1.17;Natural
