Average Emission N2O (mgm-2h-1);Type of Wetland
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.01;Natural
0.01;Natural
0.01;Natural
0.02;Natural
0.02;Natural
0.03;Natural
0.03;Natural
0.03;Natural
0.03;Natural
0.03;Natural
0.06;Natural
0.07;Natural
0.12;Natural
0.13;Natural
0.13;Natural
0.23;Natural
0.23;Natural
0.25;Natural
0.25;Natural
0.36;Natural
0.43;Natural
0.45;Natural
0.45;Natural
0.46;Natural
0.56;Natural
0.61;Natural
0.72;Natural
0.81;Natural
1.03;Natural
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.00;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.01;Constructed
0.02;Constructed
0.02;Constructed
0.03;Constructed
0.03;Constructed
0.03;Constructed
0.03;Constructed
0.04;Constructed
0.04;Constructed
0.05;Constructed
0.05;Constructed
0.05;Constructed
0.05;Constructed
0.06;Constructed
0.07;Constructed
0.08;Constructed
0.08;Constructed
0.08;Constructed
0.08;Constructed
0.10;Constructed
0.11;Constructed
0.12;Constructed
0.13;Constructed
0.13;Constructed
0.13;Constructed
0.13;Constructed
0.14;Constructed
0.14;Constructed
0.14;Constructed
0.14;Constructed
0.15;Constructed
0.16;Constructed
0.17;Constructed
0.17;Constructed
0.17;Constructed
0.18;Constructed
0.18;Constructed
0.18;Constructed
0.19;Constructed
0.19;Constructed
0.19;Constructed
0.19;Constructed
0.20;Constructed
0.20;Constructed
0.20;Constructed
0.21;Constructed
0.22;Constructed
0.22;Constructed
0.22;Constructed
0.22;Constructed
0.24;Constructed
0.24;Constructed
0.25;Constructed
0.25;Constructed
0.26;Constructed
0.26;Constructed
0.30;Constructed
0.31;Constructed
0.33;Constructed
0.33;Constructed
0.33;Constructed
0.34;Constructed
0.35;Constructed
0.35;Constructed
0.35;Constructed
0.36;Constructed
0.37;Constructed
0.39;Constructed
0.39;Constructed
0.41;Constructed
0.41;Constructed
0.41;Constructed
0.46;Constructed
0.51;Constructed
0.56;Constructed
0.57;Constructed
0.61;Constructed
0.62;Constructed
0.62;Constructed
0.69;Constructed
0.72;Constructed
0.90;Constructed
0.96;Constructed
1.02;Constructed
1.03;Constructed
1.05;Constructed
1.08;Constructed
1.42;Constructed
1.55;Constructed
1.61;Constructed
1.76;Constructed
1.90;Constructed
2.01;Constructed
2.47;Constructed
3.41;Constructed
3.71;Constructed
6.69;Constructed
10.48;Constructed
10.93;Constructed
23.11;Constructed
28.08;Constructed
29.80;Constructed
37.11;Constructed
46.82;Constructed
82.54;Constructed
96.48;Constructed
97.61;Constructed
4517.39;Constructed
5639.93;Constructed
0.24;Constructed
0.56;Constructed
0.09;Constructed
0.05;Constructed
0.05;Constructed
0.06;Constructed
0.07;Constructed
